LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,road_number
LRP089c,87.366,Cross Road,Cross Road with Z1052,23.4469441,91.1481386,N1
LRP090,87.829,Km Post,Km post missing,23.4425274,91.1497774,N1
LRP091,88.513,Km Post,Ctg 170 km,23.4373886,91.1521944,N1
LRP092,89.513,Km Post,Km post missing,23.4288882,91.1553889,N1
LRP093,90.493,Km Post,Ctg 168 km,23.4236938,91.1626944,N1
LRP093a,90.521,Bridge,Bridge start,23.4235827,91.1629722,N1
LRP093b,90.558,Bridge,Bridge end,23.423416,91.1632778,N1
LRP093c,91.066,Rail Road Crossing,Rail Road Crossing,23.4213604,91.167666,N1
LRP094,91.493,Km Post,Km post missing,23.4195271,91.171416,N1
LRP094a,91.583,Cross Road,Left to Comilla Right to Noakhali,23.4191382,91.1721938,N1
LRP095,92.121,Km Post,"Ctg 66 km,Feni 52 km",23.4149444,91.1801382,N1
LRP095a,92.632,Bridge,Bridge start,23.4131111,91.1846663,N1
LRP095b,92.66,Bridge,Bridge end,23.4130556,91.1849163,N1
LRP096,93.121,Km Post,Km post missing,23.4125,91.1893886,N1
LRP097,94.129,Km Post,Ctg 164 km,23.4113056,91.1988886,N1
LRP098,95.156,Km Post,Ctg 163 km,23.4100833,91.2087778,N1
LRP098a,95.193,Culvert,Box culvert,23.4100278,91.2090833,N1
LRP099,96.173,Km Post,Ctg 162 km,23.4048056,91.2165278,N1
LRP099a,96.345,Bridge,Bridge start,23.40375,91.2176382,N1
LRP099b,96.374,Bridge,Bridge end,23.4035556,91.2178049,N1
LRP100,97.173,Km Post,Km post missing,23.4151111,91.2232493,N1
LRP101,98.173,Km Post,Km post missing,23.3915274,91.2292493,N1
LRP101a,98.183,Culvert,Box culvert,23.3914441,91.2293049,N1
LRP101b,99.075,Culvert,Box culvert,23.385083,91.2345552,N1
LRP101c,99.09,Culvert,Box culvert,23.3849719,91.2346108,N1
LRP102,99.173,Km Post,Km post missing,23.3843886,91.2351108,N1
LRP102a,100.071,Bridge,Bridge start,23.3779716,91.2403608,N1
LRP102b,100.101,Bridge,Bridge end,23.3777493,91.2405274,N1
LRP103,100.173,Km Post,Km post missing,23.377166,91.2409163,N1
LRP104,101.173,Km Post,Km post missing,23.3695827,91.2462774,N1
LRP104a,101.344,Culvert,Box culvert,23.3683327,91.2471108,N1
LRP105,102.248,Km Post,"Ctg 156 km,Feni 43 km",23.3615278,91.2515556,N1
LRP105a,102.614,Bridge,Bridge start,23.3586389,91.25325,N1
LRP105b,102.638,Bridge,Bridge end,23.3584444,91.2533333,N1
LRP106,103.248,Km Post,Km post missing,23.3536944,91.2561389,N1
LRP106a,103.935,Culvert,Box culvert,23.3486386,91.2599444,N1
LRP107,104.248,Km Post,Km post missing,23.3463608,91.2616944,N1
LRP108,105.248,Km Post,Km post missing,22.3390552,91.2672216,N1
LRP108a,105.692,Bridge,Bridge start,23.3360274,91.2700549,N1
LRP108b,105.736,Bridge,Bridge end,23.3357219,91.2703049,N1
LRP108c,105.879,"Side Road, Right",Road to Harishchar (Z1046),23.3347219,91.271166,N1
LRP109,106.248,Km Post,Km post missing,23.3321938,91.2734716,N1
LRP110,107.248,Km Post,Km post missing,23.3246382,91.278666,N1
LRP110a,107.321,Bridge,Bridge start,23.324166,91.2791104,N1
LRP110b,107.331,Bridge,Bridge end,23.3240827,91.279166,N1
LRP111,108.248,Km Post,Km post missing,23.3171382,91.2836941,N1
LRP111a,108.518,Bridge,Bridge start,23.3149444,91.2844719,N1
LRP111b,108.537,Bridge,Bridge end,23.31475,91.2845552,N1
LRP111c,109.135,Culvert,Box culvert,23.3096389,91.2861386,N1
LRP112,109.248,Km Post,Km post missing,23.3086944,91.2864163,N1
LRP112a,109.795,Culvert,Box culvert,23.30425,91.288583,N1
LRP113,110.248,Km Post,Km post missing,23.3006111,91.290333,N1
LRP113a,110.767,Bridge,Bridge start,23.296083,91.2914997,N1
LRP113b,110.781,Bridge,Bridge end,23.2959719,91.2915274,N1
LRP114,111.248,Km Post,Km post missing,23.2919163,91.2922219,N1
LRP114a,111.75,Culvert,Box culvert,23.2876663,91.2936386,N1
LRP115,112.248,Km Post,Km post missing,23.283583,91.2952219,N1
LRP115a,113.022,Culvert,Box culvert,23.2787216,91.3002778,N1
LRP116,113.248,Km Post,Km post missing,23.2768882,91.3011944,N1
LRP117,114.248,Km Post,Km post missing,23.2686382,91.3049722,N1
LRP117a,114.364,Culvert,Box culvert,23.2677493,91.3054722,N1
LRP117b,114.641,Culvert,Box culvert,23.2654444,91.3064444,N1
LRP117c,114.844,Culvert,Box culvert,23.2636667,91.30675,N1
LRP118,115.248,Km Post,Km post missing,23.2601111,91.3072778,N1
LRP118a,115.404,Culvert,Box culvert,23.2587222,91.3074444,N1
LRP119,116.248,Km Post,Km post missing,23.2511944,91.3086389,N1
LRP119a,116.422,Culvert,Box culvert,23.249833,91.3091944,N1
LRP119b,116.608,Bridge,Bridge start,23.248333,91.3098056,N1
LRP119c,116.631,Bridge,Bridge end,23.2481663,91.3098889,N1
LRP119d,116.978,Culvert,Box culvert,23.2452774,91.3110556,N1
LRP120,117.248,Km Post,Km post missing,23.243083,91.3119167,N1
LRP120a,117.411,Culvert,Box culvert,23.2416941,91.3123611,N1
LRP120b,118.228,Culvert,Box culvert,23.2344997,91.3131667,N1
LRP121,118.248,Km Post,Km post missing,23.2343052,91.3131667,N1
LRP121a,118.563,Culvert,Box culvert,23.2314993,91.3132222,N1
LRP121b,119.011,Culvert,Box culvert,23.2275549,91.3135278,N1
LRP122,119.248,Km Post,Km post missing,23.2253882,91.3135833,N1
LRP122a,119.698,"Side Road, Right",Road to Bangadda (Z1045),23.221416,91.3137222,N1
LRP122b,120.026,Culvert,Box culvert,23.2184993,91.3143889,N1
LRP123,120.248,Km Post,Km post missing,23.2165556,91.3149167,N1
LRP123a,120.966,Culvert,Box culvert,23.2103056,91.3157222,N1
LRP124,121.248,Km Post,Km post missing,23.2078889,91.3159722,N1
LRP124a,122.019,Culvert,Box culvert,23.201,91.3168049,N1
LRP125,122.248,Km Post,Km post missing,23.1990274,91.3170549,N1
LRP125a,123.113,Culvert,Box culvert,23.1921108,91.3185549,N1
LRP126,123.248,Km Post,Km post missing,23.1909997,91.3192493,N1
LRP126a,123.771,Bridge,Bridge start,23.1866941,91.3212493,N1
LRP126b,123.783,Bridge,Bridge end,23.1866108,91.3212771,N1
LRP127,124.248,Km Post,Km post missing,23.1826382,91.3210827,N1
LRP127a,124.862,Culvert,Box culvert,23.1773604,91.3198049,N1
LRP128,125.377,Km Post,Ctg 133 km,23.172916,91.3205271,N1
LRP128a,125.923,Bridge,Bridge start,23.1681382,91.3213604,N1
LRP128b,125.937,Bridge,Bridge end,23.1680549,91.3213604,N1
LRP129,126.377,Km Post,Km post missing,23.1641389,91.3214993,N1
LRP129a,127.169,Culvert,Box culvert,23.1571667,91.3224993,N1
LRP130,127.377,Km Post,Km post missing,23.1554167,91.3232771,N1
LRP130a,128.009,"Side Road, Right",Road to Nangolhat (Z1048),23.1496941,91.3254993,N1
LRP130b,128.278,Culvert,Box culvert,23.1480274,91.3264993,N1
LRP131,128.377,Km Post,Km post missing,23.1471663,91.3266938,N1
LRP131a,128.798,Culvert,Box culvert,23.1433886,91.326666,N1
LRP132,129.377,Km Post,Km post missing,23.1382219,91.3263049,N1
LRP132a,129.479,Culvert,Box culvert,23.1374163,91.3264716,N1
LRP133,130.377,Km Post,Km post missing,23.1295827,91.3284993,N1
LRP133a,130.447,Culvert,Box culvert,23.1290827,91.3287216,N1
LRP133b,131.122,Culvert,Box culvert,23.1234993,91.3311382,N1
LRP134,131.377,Km Post,Km post missing,23.1213327,91.3320549,N1
LRP134a,131.625,Culvert,Box culvert,23.1193049,91.3329993,N1
LRP135,131.653,Km Post,"Ctg 127 km,Feni 16 km",23.1191382,91.3330827,N1
LRP136,132.653,Km Post,Km post missing,23.1113611,91.3378052,N1
LRP136a,132.728,Culvert,Box culvert,23.1108056,91.3381386,N1
LRP136b,133.448,Culvert,Box culvert,23.1051111,91.3413608,N1
LRP137,133.653,Km Post,Km post missing,23.1035,91.3422497,N1
LRP137a,134.021,Culvert,Box culvert,23.1005833,91.3437774,N1
LRP137b,134.571,Culvert,Box culvert,23.0961941,91.3461108,N1
LRP138,134.653,Km Post,Km post missing,23.095583,91.3464441,N1
LRP138a,135.341,Culvert,Box culvert,23.0901108,91.3494163,N1
LRP139,135.653,Km Post,Km post missing,23.0876108,91.3508889,N1
LRP139a,135.998,Culvert,Box culvertt,23.0849719,91.3524722,N1
LRP139b,136.525,Bridge,Bridge start,23.0808049,91.3548611,N1
LRP139c,136.542,Bridge,Bridge end,23.0806938,91.3549444,N1
LRP140,136.735,Km Post,Ctg 122 km,23.0792493,91.3558333,N1
LRP140a,137.501,Culvert,Box culvert,23.0732493,91.3594167,N1
LRP141,137.735,Km Post,Km post missing,23.0712493,91.3599722,N1
LRP141a,138.01,Others,Start of Feni road Division,23.0688604,91.3607222,N1
LRP141a,138.01,Others,Start of Feni road Division,23.0688604,91.3607222,N1
LRP141b,138.621,Culvert,Box Culvert,23.0636944,91.3616389,N1
LRP142,138.639,Km Post,Ctg 103 km,23.0635278,91.3616389,N1
LRP142a,138.869,"Side Road, Right",Road to Karerhat (Z1031),23.0614722,91.3616667,N1
LRP143,139.751,Km Post,Ctg 102 km,23.0538611,91.3637222,N1
LRP143a,140.251,Cross Road,Z1031,23.0479441,91.3651389,N1
LRP144,140.772,Km Post,Ctg 101 km,23.0449719,91.3653611,N1
LRP144a,140.968,Culvert,Box culvert,23.0427774,91.3654444,N1
LRP144b,141.304,Rail Road Crossing,Rail Road Crossing,23.0398052,91.3656111,N1
LRP145,141.772,Km Post,Km post missing,23.0360274,91.36575,N1
LRP145a,142.507,Culvert,Box culvert,23.029416,91.3656389,N1
LRP146,142.794,Km Post,"Ctg 99 km,Feni 3 km",23.0269716,91.3655,N1
LRP146a,143.034,"Side Road, Right",Road to Biroli (Z1030),23.0248327,91.3655278,N1
LRP147,143.795,Km Post,"Ctg 98 km,Feni 2 km",23.0193604,91.3697771,N1
LRP147a,143.946,Culvert,Box culvert,23.0185271,91.3708327,N1
LRP147b,144.67,Culvert,Box culvert,23.0140833,91.3759716,N1
LRP148,144.795,Km Post,Km post missing,23.0132778,91.3769438,N1
LRP148a,145.409,Cross Road,Intersection with N104,23.0095556,91.3813604,N1
LRP149,145.795,Km Post,Km post missing,23.0095556,91.3813604,N1
LRP150,146.816,Km Post,Ctg 95 km,23.0018889,91.3920552,N1
LRP151,147.816,Km Post,Km post missing,22.9963886,91.3998052,N1
LRP151a,147.901,Bridge,Bridge start,22.9961941,91.4005,N1
LRP151b,147.924,Bridge,Bridge end,22.9960552,91.4006667,N1
LRP152,148.841,Km Post,"Ctg 93 km,Lalpole 1 km",22.9906941,91.4072222,N1
LRP152a,149.289,"Side Road, Left",Road to Feni Town (Z1034),22.9877774,91.41,N1
LRP152b,149.585,"Side Road, Right",Road to Sonagazi (Z1034),22.9858886,91.4120556,N1
LRP153,149.841,Km Post,Ctg 91 km,22.9842219,91.4137222,N1
LRP154,150.892,Km Post,Ctg 91 km,22.9774438,91.4205827,N1
LRP155,151.892,Km Post,Km post missing,22.9711382,91.4273882,N1
LRP156,152.892,Km Post,Km post missing,22.9663333,91.4356108,N1
LRP156a,153.672,Bridge,Bridge start,22.9624167,91.4416941,N1
LRP156b,153.781,Bridge,Bridge end,22.9618056,91.4424997,N1
LRP157,153.892,Km Post,Km post missing,22.9611667,91.4433886,N1
LRP158,154.935,Km Post,Ctg 87 km,22.9561389,91.4517778,N1
LRP159,155.935,Km Post,Km post missing,22.9514444,91.4600278,N1
LRP160,156.947,Km Post,"Ctg 85 km,Bairyahat 10 km",22.9479997,91.4689993,N1
LRP160a,157.685,"Side Road, Left",Road to Mounshirhat (Z1081),22.9483608,91.4761382,N1
LRP161,157.947,Km Post,Km post missing,22.9484997,91.4786938,N1
LRP162,158.955,Km Post,Ctg 83 km,22.9497497,91.4883608,N1
LRP163,159.955,Km Post,Km post missing,22.9497774,91.4980274,N1
LRP163a,160.243,Bridge,Bridge start,22.9496663,91.5007778,N1
LRP163b,160.454,Bridge,Bridge end,22.949583,91.5027778,N1
LRP164,160.963,Km Post,Ctg 81 kkm,22.9482774,91.50725,N1
LRP164a,161.582,"Side Road, Left",Road to Chhagalnaiya (Z1032),22.9439441,91.5108611,N1
LRP165,161.963,Km Post,Km post missing,22.940833,91.5124444,N1
LRP166,162.963,Km Post,Km post missing,22.9329716,91.5172216,N1
LRP167,163.963,Km Post,Km post missing,22.9248882,91.5213327,N1
LRP168,164.963,Km Post,Km post missing,22.9167216,91.5253882,N1
LRP168a,165.097,Bridge,Bridge start,22.9156667,91.5259438,N1
LRP168b,165.325,Bridge,Bridge end/Start of Chittagong Road Division,22.9138056,91.5268604,N1
LRP168b,165.325,Bridge,Bridge end/Start of Chittagong Road Division,22.9138056,91.5268604,N1
LRP169,165.963,Km Post,Km post missing,22.9085833,91.5294993,N1
